label,start_s,end_s,duration_s,mean_confidence
Step2_PalmOverDorsum,0.000000,2.900000,2.900000,0.508474
Step4_BackOfFingers,3.000000,3.200000,0.200000,0.370994
Step2_PalmOverDorsum,3.300000,4.100000,0.800000,0.407939
Step4_BackOfFingers,4.200000,6.000000,1.800000,0.534535
Step2_PalmOverDorsum,6.100000,7.300000,1.200000,0.474612
Step4_BackOfFingers,7.400000,8.000000,0.600000,0.430092
Step2_PalmOverDorsum,8.100000,8.600000,0.500000,0.467497
Step4_BackOfFingers,8.700000,9.400000,0.700000,0.407548
Step2_PalmOverDorsum,9.500000,10.200000,0.700000,0.402391
Step4_BackOfFingers,10.300000,11.400000,1.099999,0.516913
Step2_PalmOverDorsum,11.500000,12.300000,0.800000,0.597144
